//Y rotation	X' rotation	Z" rotation1	Defocus1	Z" rotation2"	Defocus2	Z" rotation3	Defocus3
//theta=360.0*rand()	fi=180/PI()*ACOS(2*RAND()-1)-90		psi=360.0*rand()					
26.00810694	-8.522712116	129.6892203	6.743773574	288.416648	14.6618478	166.2917111	9.563806875
172.5031608	33.49812809	299.8940784	10.41893232	297.2303384	8.923491161	77.87911711	8.478823205
190.4084923	35.29255135	149.6711892	8.466044745	317.3861666	11.12645956	282.8326037	9.782168557
281.8396809	31.86876039	247.383095	6.684336937	282.8837994	10.91649724	129.0044657	9.249695759
121.8589718	-15.73317918	166.9345344	9.128775043	197.1203744	9.460768742	104.9953255	7.066174276
13.23660864	-35.52467996	180.3408877	11.1417195	332.2446587	9.793296018	254.2326199	6.010249766
97.94685887	33.81912113	256.5517521	14.53473129	77.00788592	5.398747561	124.534224	8.885638777
287.9758582	-39.55341516	120.7328669	10.44514973	297.0706126	13.33282855	196.1524186	6.334542628
168.1278053	-6.837024217	243.30537	8.865746818	177.9092585	7.48798294	341.794898	5.270372678
261.4319794	-41.61580786	347.6080615	9.856249747	57.23544936	8.711746802	44.70407416	6.903986789
185.5423696	-4.107074411	105.0992619	12.23325712	12.71098296	10.50607993	15.66657027	7.327044709
192.7022474	82.89589771	162.0607763	14.5610955	218.6979113	8.718024357	264.5740903	6.05555455
20.17007635	42.58198525	93.13592458	7.840112874	165.1363809	13.92938044	157.8398247	10.68574609
333.2362849	77.1940075	246.2594822	13.44612092	347.7083846	5.461197781	46.82300175	13.84238007
303.113637	-21.34731924	180.9085991	6.730433274	67.02125086	13.13993847	187.0145653	11.43568727
10.56068821	-53.2860474	31.31217606	8.425675115	92.43879993	7.163533536	87.90094468	12.1309391
186.9984386	54.28811639	12.14141647	14.16775017	59.77924412	12.19133307	200.6417596	8.112978462
110.2506822	27.40563189	216.0672076	12.38859577	325.9786977	9.611240633	225.0603636	9.003978108
184.9159323	-3.625488046	135.932916	6.802278071	212.5119307	13.14448392	281.4830319	6.647482517
77.89779902	-13.56512848	113.0782808	13.97810233	204.9260522	11.93188928	325.8090956	12.27359692
300.9113031	54.43709417	116.1180724	5.379896969	275.4608852	7.65517426	88.88008278	9.000631351
154.8188017	-43.3613752	179.4017215	8.567061926	134.5644319	13.26329474	207.5203022	5.367051864
259.9839366	-19.1904972	322.2485636	11.84008175	131.3935473	14.8144175	310.6652163	10.97259488
101.5203286	-41.29122375	115.9810789	13.94433717	169.6087817	5.449410631	350.9521245	13.40051361
94.33638037	12.49272118	147.4698991	8.735070032	254.3671792	10.97841944	133.5247864	9.517436808
299.5040164	-6.041900305	79.58697258	10.81277137	69.33081869	14.59612232	316.4086498	12.79662275
88.96933464	-1.45922459	315.1460236	6.104582973	351.6848002	12.30385844	326.8911979	11.15975927
247.509192	43.01790127	288.8351795	9.368473515	285.0750141	6.44152244	6.20089253	12.52895663
135.4598683	32.12838575	328.9430274	9.001046462	277.5515331	8.743884584	164.0206539	5.660730802
5.416267431	-30.52809612	243.9488404	10.70592495	29.84028504	8.439657455	335.1056686	8.661439169
247.3367065	21.0140705	125.6417566	9.213996425	98.33586814	7.68789426	173.1604265	11.58097361
250.1751286	-7.94078762	314.7840398	12.15535647	264.4284848	9.84649179	218.397115	5.142187996
130.1482017	54.30189826	148.5037788	13.91551908	91.78206487	14.57023721	32.04432909	7.856108786
222.4045395	45.62699219	349.3502007	5.718044183	8.507734407	14.31396298	235.7349004	11.52369882
18.22662693	1.242340419	3.991048553	13.13944878	350.0059348	8.593798703	320.1890816	11.54488428
230.2144586	24.8655988	209.3497261	7.902525523	50.12716802	12.11207933	28.4281332	8.219013905
