//Y axis rotation	X' axis rotation (degrees)	Defocus	1	2	3...	(Angstroms)
0	0	4	9	14
10	0	4	9	14
20	0	4	9	14
30	0	4	9	14
40	0	4	9	14
50	0	4	9	14
60	0	4	9	14
70	0	4	9	14
80	0	4	9	14
90	0	4	9	14
100	0	4	9	14
110	0	4	9	14
120	0	4	9	14
130	0	4	9	14
140	0	4	9	14
150	0	4	9	14
160	0	4	9	14
170	0	4	9	14
180	0	4	9	14
190	0	4	9	14
200	0	4	9	14
210	0	4	9	14
220	0	4	9	14
230	0	4	9	14
240	0	4	9	14
250	0	4	9	14
260	0	4	9	14
270	0	4	9	14
280	0	4	9	14
290	0	4	9	14
300	0	4	9	14
310	0	4	9	14
320	0	4	9	14
330	0	4	9	14
340	0	4	9	14
350	0	4	9	14
